Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
424.6,0.014020231,0,0.040543099,0.032093319,0.515107594
424.7,0.014276894,0,0.040456877,0.032094202,0.515570219
424.8,0.014546362,0,0.040369278,0.032095538,0.51603105
424.9,0.014831695,0,0.040280079,0.032097317,0.51649091
425,0.015138187,0,0.040189054,0.032099535,0.516950626
425.1,0.015463695,0,0.040095977,0.032102182,0.51741102
425.2,0.01580534,0,0.040000625,0.032105254,0.517872918
425.3,0.016160243,0,0.039902772,0.032108742,0.518337143
425.4,0.016525523,0,0.039802193,0.03211264,0.51880452
425.5,0.016898301,0,0.039698506,0.032116941,0.519275577
425.6,0.017275698,0,0.039590302,0.032121638,0.519743244
425.7,0.017654834,0,0.039477621,0.032126724,0.520204946
425.8,0.01803283,0,0.039360866,0.032132192,0.520661674
425.9,0.018406806,0,0.039240441,0.032138035,0.521114415
426,0.018773883,0,0.039116749,0.032144247,0.521564157
426.1,0.019133667,0,0.038990196,0.03215082,0.522011891
426.2,0.019488652,0,0.038861184,0.032157748,0.522458603
426.3,0.019840594,0,0.038730119,0.032165023,0.522905283
426.4,0.020191247,0,0.038597403,0.032172639,0.523352919
426.5,0.020542365,0,0.038463441,0.032180588,0.523802499
426.6,0.020895704,0,0.038328636,0.032188864,0.524255013
426.7,0.021253016,0,0.038193394,0.03219746,0.524711448
426.8,0.021616057,0,0.038058117,0.032206369,0.525172794
426.9,0.021986582,0,0.037923209,0.032215585,0.525640039
427,0.022366344,0,0.037789076,0.032225099,0.526114171
427.1,0.022757098,0,0.037656119,0.032234905,0.526596178
427.2,0.023160599,0,0.037524745,0.032244997,0.527087051
427.3,0.023578601,0,0.037395355,0.032255367,0.527587776
427.4,0.024013302,0,0.037268355,0.032266008,0.528099343
427.5,0.024468321,0,0.037144149,0.032276914,0.528624133
427.6,0.024942553,0,0.03702314,0.032288078,0.52916625
427.7,0.025434095,0,0.036905732,0.032299492,0.529724364
427.8,0.025941043,0,0.036792307,0.03231115,0.530296779
427.9,0.026461494,0,0.036680865,0.032323045,0.530881797
428,0.026993544,0,0.036569931,0.03233517,0.531477724
428.1,0.02753529,0,0.036459541,0.032347518,0.532082862
428.2,0.028084827,0,0.036349731,0.032360082,0.532695515
428.3,0.028640252,0,0.036240539,0.032372855,0.533313988
428.4,0.029199662,0,0.036132002,0.03238583,0.533936583
428.5,0.029761154,0,0.036024155,0.032399015,0.534561604
428.6,0.030322822,0,0.035917036,0.032414572,0.535187355
428.7,0.030882765,0,0.035810681,0.032433947,0.53581214
428.8,0.031439078,0,0.035705128,0.032456974,0.536434262
428.9,0.031989857,0,0.035600413,0.032483487,0.537052025
429,0.032533843,0,0.035496572,0.032513319,0.537663733
429.1,0.033076646,0,0.035393644,0.032546305,0.538267689
